acc_x,acc_y,acc_z
10.09,0.06,0.26
10.10,0.07,0.29
10.11,0.07,0.29
10.10,0.06,0.26
10.10,0.06,0.32
10.09,0.06,0.27
10.07,0.08,0.29
10.08,0.08,0.26
10.09,0.07,0.24
10.08,0.10,0.29
10.11,0.06,0.25
10.09,0.07,0.26
10.07,0.06,0.28
10.06,0.05,0.29
10.11,0.10,0.30
10.07,0.07,0.29
10.08,0.07,0.27
10.07,0.06,0.28
10.07,0.08,0.30
10.04,0.07,0.28
10.06,0.07,0.29
10.06,0.05,0.29
10.09,0.06,0.29
10.07,0.09,0.28
10.07,0.08,0.27
10.10,0.06,0.27
10.09,0.08,0.26
10.07,0.07,0.31
10.13,0.08,0.28
10.11,0.08,0.29
10.08,0.08,0.32
10.08,0.07,0.29
10.08,0.09,0.30
10.09,0.06,0.27
10.08,0.07,0.29
10.09,0.06,0.26
10.08,0.06,0.31
10.10,0.08,0.27
10.10,0.08,0.28
10.10,0.07,0.32
10.10,0.06,0.29
10.08,0.09,0.30
10.08,0.07,0.28
10.07,0.06,0.31
10.08,0.06,0.29
10.10,0.07,0.29
10.08,0.06,0.31
10.07,0.08,0.30
10.09,0.08,0.29
10.06,0.08,0.32
10.10,0.07,0.28
10.09,0.05,0.29
10.09,0.06,0.27
10.08,0.07,0.30
10.08,0.08,0.29
10.09,0.07,0.30
10.07,0.10,0.30
10.09,0.06,0.28
10.09,0.06,0.29
10.09,0.08,0.29
10.08,0.07,0.31
10.09,0.05,0.29
10.09,0.06,0.27
10.09,0.08,0.29
10.09,0.07,0.29
10.09,0.07,0.30
10.09,0.07,0.28
10.08,0.06,0.30
10.08,0.09,0.29
10.10,0.08,0.27
10.07,0.08,0.32
10.10,0.08,0.25
10.09,0.08,0.32
10.09,0.09,0.30
10.11,0.07,0.28
10.10,0.07,0.29
10.09,0.08,0.28
10.08,0.08,0.28
10.10,0.07,0.30
10.10,0.07,0.29
10.08,0.07,0.31
10.09,0.06,0.30
10.09,0.08,0.28
10.08,0.08,0.29
10.08,0.07,0.27
10.06,0.08,0.27
10.10,0.06,0.28
10.09,0.08,0.29
10.09,0.07,0.27
10.08,0.07,0.26
10.07,0.07,0.31
10.07,0.06,0.27
10.07,0.06,0.31
