probability_of_a_match,number_of_rounds,probability_of_win
0.01,1,0.01
0.01,2,0.00029800000000000003
0.01,3,9.850600000000002e-06
0.01,4,3.416698e-07
0.01,5,1.2185368570000002e-08
0.01,6,4.425434338348001e-10
0.01,7,1.6278881392003243e-11
0.01,8,6.045248493209707e-13
0.01,9,2.261436267389132e-14
0.01,10,8.509104732905514e-16
0.01,11,3.216940150395055e-17
0.01,12,1.220988990417036e-18
0.01,13,4.649673552843913e-20
0.01,14,1.775684284604094e-21
0.01,15,6.797899925022196e-23
0.01,16,2.6080409268757338e-24
0.01,17,1.0024753819636421e-25
0.01,18,3.859761716181852e-27
0.01,19,1.48832321694831e-28
0.01,20,5.746696726347244e-30
0.01,21,2.2216074631408604e-31
0.01,22,8.597969714518525e-33
0.01,23,3.3309026011526186e-34
0.01,24,1.2916016903378947e-35
0.01,25,5.0126062283818755e-37
0.01,26,1.9468761102961736e-38
0.01,27,7.567064114143845e-40
0.01,28,2.943121906957749e-41
0.01,29,1.145408910166957e-42
0.01,30,4.4603208583828584e-44
0.01,31,1.737834564181557e-45
0.01,32,6.77442822160835e-47
0.01,33,2.6420754122169003e-48
0.01,34,1.0308934686610322e-49
0.01,35,4.0240846809747486e-51
0.01,36,1.571429324798193e-52
0.01,37,6.138857201092323e-54
0.01,38,2.399034062849726e-55
0.01,39,9.378501408948464e-57
0.01,40,3.6675089679496906e-58
0.01,41,1.4346393017206547e-59
0.01,42,5.613602572364115e-61
0.01,43,2.1971618242722948e-62
0.01,44,8.601977909467147e-64
0.01,45,3.36856802596755e-65
0.01,46,1.3194660051710398e-66
0.01,47,5.169546508916709e-68
0.01,48,2.0258337592360157e-69
0.01,49,7.94050814943421e-71
0.01,50,3.113021933716424e-72
0.01,51,1.2206803070165442e-73
0.01,52,4.787450010498799e-75
0.01,53,1.8779585162297652e-76
0.01,54,7.367908296507924e-78
0.01,55,2.89118653332806e-79
0.01,56,1.1346947734614444e-80
0.01,57,4.4540033169112885e-82
0.01,58,1.74859078437496e-83
0.01,59,6.865777902930004e-85
0.01,60,2.6962061448296065e-86
0.01,61,1.0589517765645267e-87
0.01,62,4.1596528178716514e-89
0.01,63,1.6341576638971217e-90
0.01,64,6.420739367207418e-92
0.01,65,2.523066336013189e-93
0.01,66,9.915696860138884e-95
0.01,67,3.897330462105072e-96
0.01,68,1.5320014753805924e-97
0.01,69,6.022789731623614e-99
0.01,70,2.3679986516365187e-100
0.01,71,9.311275014064547e-102
0.01,72,3.6616732421077683e-103
0.01,73,1.4400964307277247e-104
0.01,74,5.664270568259184e-106
0.01,75,2.228105518857188e-107
0.01,76,8.765280681652191e-109
0.01,77,3.4485236789010706e-110
0.01,78,1.356865966009586e-111
0.01,79,5.339199093535002e-113
0.01,80,2.1011149997073532e-114
0.01,81,8.269080444997479e-116
0.01,82,3.254598898845528e-117
0.01,83,1.281060964587648e-118
0.01,84,5.0428195262641377e-120
0.01,85,1.9852153215691497e-121
0.01,86,7.815768064190378e-123
0.01,87,3.0772648203750646e-124
0.01,88,1.2116762089156566e-125
0.01,89,4.771293661902859e-127
0.01,90,1.8789401685705993e-128
0.01,91,7.399738835156318e-130
0.01,92,2.914378068607333e-131
0.01,93,1.1478916144143867e-132
0.01,94,4.521482226936849e-134
0.01,95,1.7810872630265323e-135
0.01,96,7.016386154513368e-137
0.01,97,2.764172798025824e-138
0.01,98,1.0890299825058755e-139
0.01,99,4.290787057401946e-141
0.01,100,1.690659363904333e-142
0.02,1,0.02
0.02,2,0.001184
0.02,3,7.76192e-05
0.02,4,5.3356544e-06
0.02,5,3.7700317184e-07
0.02,6,2.71207411810304e-08
0.02,7,1.9758571643391186e-09
0.02,8,1.4530960792399277e-10
0.02,9,1.0764362527481046e-11
0.02,10,8.020345794548889e-13
0.02,11,6.00403938859008e-14
0.02,12,4.512247198592506e-15
0.02,13,3.4023244415274397e-16
0.02,14,2.5726716510361915e-17
0.02,15,1.9500835005978338e-18
0.02,16,1.4813174023118006e-19
0.02,17,1.1273504031332697e-20
0.02,18,8.593973049725464e-22
0.02,19,6.561094782998375e-23
0.02,20,5.015804019479913e-24
0.02,21,3.839112266050009e-25
0.02,22,2.9417031523640924e-26
0.02,23,2.256330831407273e-27
0.02,24,1.7322317831596173e-28
0.02,25,1.3309947480318744e-29
0.02,26,1.0234941287546196e-30
0.02,27,7.876037719896589e-32
0.02,28,6.064864523705632e-33
0.02,29,4.673100477105946e-34
0.02,30,3.602812629117008e-35
0.02,31,2.7791653625419054e-36
0.02,32,2.144906731052702e-37
0.02,33,1.6561903947997904e-38
0.02,34,1.279403832460638e-39
0.02,35,9.88756470651356e-41
0.02,36,7.644428897771175e-42
0.02,37,5.912420532320457e-43
0.02,38,4.574477014195992e-44
0.02,39,3.540506660779596e-45
0.02,40,2.7411309945665627e-46
0.02,41,2.1228909939034155e-47
0.02,42,1.6445714376596754e-48
0.02,43,1.2743801508653252e-49
0.02,44,9.87781592342294e-51
0.02,45,7.658317591986485e-52
0.02,46,5.938975137318833e-53
0.02,47,4.6067094098191505e-54
0.02,48,3.574103080817317e-55
0.02,49,2.773551943860362e-56
0.02,50,2.152755839896884e-57
0.02,51,1.6712406041966198e-58
0.02,52,1.2976740001892972e-59
0.02,53,1.0077934457625123e-60
0.02,54,7.828053962981457e-62
0.02,55,6.081485306055539e-63
0.02,56,4.7253768215449144e-64
0.02,57,3.6722451777379992e-65
0.02,58,2.8542562602141637e-66
0.02,59,2.2187996036272304e-67
0.02,60,1.725062711461036e-68
0.02,61,1.3413785523470923e-69
0.02,62,1.0431711332205761e-70
0.02,63,8.113638573620369e-72
