Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066052,1888,01,16.2,Y
IDCJAC0001,066052,1888,02,83.6,Y
IDCJAC0001,066052,1888,03,40.4,Y
IDCJAC0001,066052,1888,04,5.3,Y
IDCJAC0001,066052,1888,05,17.6,Y
IDCJAC0001,066052,1888,06,27.0,Y
IDCJAC0001,066052,1888,07,40.5,Y
IDCJAC0001,066052,1888,08,73.9,Y
IDCJAC0001,066052,1888,09,39.4,Y
IDCJAC0001,066052,1888,10,27.7,Y
IDCJAC0001,066052,1888,11,90.0,Y
IDCJAC0001,066052,1888,12,157.9,Y
IDCJAC0001,066052,1889,01,46.3,Y
IDCJAC0001,066052,1889,02,32.5,Y
IDCJAC0001,066052,1889,03,37.9,Y
IDCJAC0001,066052,1889,04,128.1,Y
IDCJAC0001,066052,1889,05,379.4,Y
IDCJAC0001,066052,1889,06,23.7,Y
IDCJAC0001,066052,1889,07,269.6,Y
IDCJAC0001,066052,1889,08,129.0,Y
IDCJAC0001,066052,1890,07,71.3,Y
IDCJAC0001,066052,1890,08,39.9,Y
IDCJAC0001,066052,1890,09,51.9,Y
IDCJAC0001,066052,1890,10,42.8,Y
IDCJAC0001,066052,1890,11,91.7,Y
IDCJAC0001,066052,1890,12,45.5,Y
IDCJAC0001,066052,1891,01,99.9,Y
IDCJAC0001,066052,1891,02,54.3,Y
IDCJAC0001,066052,1891,03,288.2,Y
IDCJAC0001,066052,1891,04,127.9,Y
IDCJAC0001,066052,1891,05,86.6,Y
IDCJAC0001,066052,1891,06,338.5,Y
IDCJAC0001,066052,1891,07,109.3,Y
IDCJAC0001,066052,1891,08,120.1,Y
IDCJAC0001,066052,1891,09,125.8,Y
IDCJAC0001,066052,1891,10,41.7,Y
IDCJAC0001,066052,1891,11,69.8,Y
IDCJAC0001,066052,1891,12,36.2,Y
IDCJAC0001,066052,1892,01,117.8,Y
IDCJAC0001,066052,1892,02,85.9,Y
IDCJAC0001,066052,1892,03,442.7,Y
IDCJAC0001,066052,1892,04,90.5,Y
IDCJAC0001,066052,1892,05,92.8,Y
IDCJAC0001,066052,1892,06,43.7,Y
IDCJAC0001,066052,1892,07,123.3,Y
IDCJAC0001,066052,1892,08,120.0,Y
IDCJAC0001,066052,1892,09,98.8,Y
IDCJAC0001,066052,1892,10,116.1,Y
IDCJAC0001,066052,1892,11,49.9,Y
IDCJAC0001,066052,1892,12,148.8,Y
IDCJAC0001,066052,1893,01,85.6,Y
IDCJAC0001,066052,1893,02,70.5,Y
IDCJAC0001,066052,1893,03,212.0,Y
IDCJAC0001,066052,1893,04,132.5,Y
IDCJAC0001,066052,1893,05,33.2,Y
IDCJAC0001,066052,1893,06,150.7,Y
IDCJAC0001,066052,1893,07,134.4,Y
IDCJAC0001,066052,1893,08,63.5,Y
IDCJAC0001,066052,1893,09,30.7,Y
IDCJAC0001,066052,1893,10,92.0,Y
IDCJAC0001,066052,1893,11,107.3,Y
IDCJAC0001,066052,1893,12,37.0,Y
IDCJAC0001,066052,1894,01,26.6,Y
IDCJAC0001,066052,1894,02,137.5,Y
IDCJAC0001,066052,1894,03,270.2,Y
IDCJAC0001,066052,1894,04,76.2,Y
IDCJAC0001,066052,1894,05,39.7,Y
IDCJAC0001,066052,1894,06,48.9,Y
IDCJAC0001,066052,1894,07,61.5,Y
IDCJAC0001,066052,1894,08,23.1,Y
IDCJAC0001,066052,1894,09,227.7,Y
IDCJAC0001,066052,1894,10,70.2,Y
IDCJAC0001,066052,1894,11,8.4,Y
IDCJAC0001,066052,1894,12,80.3,Y
IDCJAC0001,066052,1895,01,190.3,Y
IDCJAC0001,066052,1895,02,278.3,Y
IDCJAC0001,066052,1895,03,20.6,Y
IDCJAC0001,066052,1895,04,63.0,Y
IDCJAC0001,066052,1895,05,53.3,Y
IDCJAC0001,066052,1895,06,40.2,Y
IDCJAC0001,066052,1895,07,13.7,Y
IDCJAC0001,066052,1895,08,26.4,Y
IDCJAC0001,066052,1895,09,84.2,Y
IDCJAC0001,066052,1895,10,11.3,Y
IDCJAC0001,066052,1895,11,46.7,Y
IDCJAC0001,066052,1895,12,88.4,Y
IDCJAC0001,066052,1896,01,35.5,Y
IDCJAC0001,066052,1896,02,95.0,Y
IDCJAC0001,066052,1896,03,116.3,Y
IDCJAC0001,066052,1896,04,1.5,Y
IDCJAC0001,066052,1896,05,119.4,Y
IDCJAC0001,066052,1896,06,408.1,Y
IDCJAC0001,066052,1896,07,90.3,Y
IDCJAC0001,066052,1896,08,58.5,Y
IDCJAC0001,066052,1896,09,10.2,Y
IDCJAC0001,066052,1896,10,44.0,Y
IDCJAC0001,066052,1896,11,113.2,Y
IDCJAC0001,066052,1896,12,39.2,Y
IDCJAC0001,066052,1897,01,51.0,Y
IDCJAC0001,066052,1897,02,17.1,Y
IDCJAC0001,066052,1897,03,103.1,Y
IDCJAC0001,066052,1897,04,188.0,Y
IDCJAC0001,066052,1897,05,44.9,Y
IDCJAC0001,066052,1897,06,205.3,Y
IDCJAC0001,066052,1897,07,130.5,Y
IDCJAC0001,066052,1897,08,147.4,Y
IDCJAC0001,066052,1897,09,20.2,Y
IDCJAC0001,066052,1897,10,30.3,Y
IDCJAC0001,066052,1897,11,14.5,Y
IDCJAC0001,066052,1897,12,119.6,Y
IDCJAC0001,066052,1898,01,147.0,Y
IDCJAC0001,066052,1898,02,99.5,Y
IDCJAC0001,066052,1898,03,36.6,Y
IDCJAC0001,066052,1898,04,19.2,Y
IDCJAC0001,066052,1898,05,325.9,Y
IDCJAC0001,066052,1898,06,167.4,Y
IDCJAC0001,066052,1898,07,94.3,Y
IDCJAC0001,066052,1898,08,109.9,Y
IDCJAC0001,066052,1898,09,32.6,Y
IDCJAC0001,066052,1898,10,76.2,Y
IDCJAC0001,066052,1898,11,3.3,Y
IDCJAC0001,066052,1898,12,33.5,Y
IDCJAC0001,066052,1899,01,41.0,Y
IDCJAC0001,066052,1899,02,19.7,Y
IDCJAC0001,066052,1899,03,22.4,Y
IDCJAC0001,066052,1899,04,72.4,Y
IDCJAC0001,066052,1899,05,153.7,Y
IDCJAC0001,066052,1899,06,298.7,Y
IDCJAC0001,066052,1899,07,111.4,Y
IDCJAC0001,066052,1899,08,411.4,Y
IDCJAC0001,066052,1899,09,45.9,Y
IDCJAC0001,066052,1899,10,97.5,Y
IDCJAC0001,066052,1899,11,138.6,Y
IDCJAC0001,066052,1899,12,19.3,Y
IDCJAC0001,066052,1900,01,39.8,Y
IDCJAC0001,066052,1900,02,10.4,Y
IDCJAC0001,066052,1900,03,198.9,Y
IDCJAC0001,066052,1900,04,146.4,Y
IDCJAC0001,066052,1900,05,394.4,Y
IDCJAC0001,066052,1900,06,281.0,Y
IDCJAC0001,066052,1900,07,339.9,Y
IDCJAC0001,066052,1900,08,19.6,Y
IDCJAC0001,066052,1900,09,77.6,Y
IDCJAC0001,066052,1900,10,14.5,Y
IDCJAC0001,066052,1900,11,204.2,Y
IDCJAC0001,066052,1900,12,75.9,Y
IDCJAC0001,066052,1901,01,90.2,Y
IDCJAC0001,066052,1901,02,44.7,Y
IDCJAC0001,066052,1901,03,117.1,Y
IDCJAC0001,066052,1901,04,328.4,Y
IDCJAC0001,066052,1901,05,50.1,Y
IDCJAC0001,066052,1901,06,29.5,Y
IDCJAC0001,066052,1901,07,75.6,Y
IDCJAC0001,066052,1901,08,105.5,Y
IDCJAC0001,066052,1901,09,92.2,Y
IDCJAC0001,066052,1901,10,42.7,Y
IDCJAC0001,066052,1901,11,29.2,Y
IDCJAC0001,066052,1901,12,9.1,Y
IDCJAC0001,066052,1902,01,55.4,Y
IDCJAC0001,066052,1902,02,8.9,Y
IDCJAC0001,066052,1902,03,61.3,Y
IDCJAC0001,066052,1902,04,61.0,Y
IDCJAC0001,066052,1902,05,50.8,Y
IDCJAC0001,066052,1902,06,25.7,Y
IDCJAC0001,066052,1902,07,382.8,Y
IDCJAC0001,066052,1902,08,133.3,Y
IDCJAC0001,066052,1902,09,67.9,Y
IDCJAC0001,066052,1902,10,323.0,Y
IDCJAC0001,066052,1902,11,71.7,Y
IDCJAC0001,066052,1902,12,41.7,Y
IDCJAC0001,066052,1903,01,37.7,Y
IDCJAC0001,066052,1903,02,25.4,Y
IDCJAC0001,066052,1903,03,80.4,Y
IDCJAC0001,066052,1903,04,43.7,Y
IDCJAC0001,066052,1903,05,132.8,Y
IDCJAC0001,066052,1903,06,35.4,Y
IDCJAC0001,066052,1903,07,165.0,Y
IDCJAC0001,066052,1903,08,147.4,Y
IDCJAC0001,066052,1903,09,110.2,Y
IDCJAC0001,066052,1903,10,100.3,Y
IDCJAC0001,066052,1903,11,55.1,Y
IDCJAC0001,066052,1903,12,90.4,Y
IDCJAC0001,066052,1904,01,52.7,Y
IDCJAC0001,066052,1904,02,83.8,Y
IDCJAC0001,066052,1904,03,146.1,Y
IDCJAC0001,066052,1904,04,397.1,Y
IDCJAC0001,066052,1904,05,198.4,Y
IDCJAC0001,066052,1904,06,2.1,Y
IDCJAC0001,066052,1904,07,265.4,Y
IDCJAC0001,066052,1904,08,50.5,Y
IDCJAC0001,066052,1904,09,28.1,Y
IDCJAC0001,066052,1904,10,55.7,Y
IDCJAC0001,066052,1904,11,4.4,Y
IDCJAC0001,066052,1904,12,14.0,Y
IDCJAC0001,066052,1905,01,36.6,Y
IDCJAC0001,066052,1905,02,83.2,Y
IDCJAC0001,066052,1905,03,303.2,Y
IDCJAC0001,066052,1905,04,95.1,Y
IDCJAC0001,066052,1905,05,191.0,Y
IDCJAC0001,066052,1905,06,43.0,Y
IDCJAC0001,066052,1905,07,13.5,Y
IDCJAC0001,066052,1905,08,16.3,Y
IDCJAC0001,066052,1905,09,71.6,Y
IDCJAC0001,066052,1905,10,84.1,Y
IDCJAC0001,066052,1905,11,27.7,Y
IDCJAC0001,066052,1905,12,44.5,Y
IDCJAC0001,066052,1906,01,52.4,Y
IDCJAC0001,066052,1906,02,9.6,Y
IDCJAC0001,066052,1906,03,123.7,Y
IDCJAC0001,066052,1906,04,33.9,Y
IDCJAC0001,066052,1906,05,242.0,Y
IDCJAC0001,066052,1906,06,48.1,Y
IDCJAC0001,066052,1906,07,6.3,Y
IDCJAC0001,066052,1906,08,114.5,Y
IDCJAC0001,066052,1906,09,37.4,Y
IDCJAC0001,066052,1906,10,38.7,Y
IDCJAC0001,066052,1906,11,122.2,Y
IDCJAC0001,066052,1906,12,26.5,Y
IDCJAC0001,066052,1907,01,75.7,Y
IDCJAC0001,066052,1907,02,54.2,Y
IDCJAC0001,066052,1907,03,222.0,Y
IDCJAC0001,066052,1907,04,37.6,Y
IDCJAC0001,066052,1907,05,46.3,Y
IDCJAC0001,066052,1907,06,290.4,Y
IDCJAC0001,066052,1907,07,12.2,Y
IDCJAC0001,066052,1907,08,5.3,Y
IDCJAC0001,066052,1907,09,6.4,Y
IDCJAC0001,066052,1907,10,10.7,Y
IDCJAC0001,066052,1907,11,53.2,Y
IDCJAC0001,066052,1907,12,14.5,Y
IDCJAC0001,066052,1908,01,31.8,Y
IDCJAC0001,066052,1908,02,150.4,Y
IDCJAC0001,066052,1908,03,44.9,Y
IDCJAC0001,066052,1908,04,94.9,Y
IDCJAC0001,066052,1908,05,84.7,Y
IDCJAC0001,066052,1908,06,27.8,Y
IDCJAC0001,066052,1908,07,314.7,Y
IDCJAC0001,066052,1908,08,284.2,Y
IDCJAC0001,066052,1908,09,88.3,Y
IDCJAC0001,066052,1908,10,35.5,Y
IDCJAC0001,066052,1908,11,8.1,Y
IDCJAC0001,066052,1908,12,21.6,Y
IDCJAC0001,066052,1909,01,41.4,Y
IDCJAC0001,066052,1909,02,166.5,Y
IDCJAC0001,066052,1909,03,51.5,Y
IDCJAC0001,066052,1909,04,25.9,Y
IDCJAC0001,066052,1909,05,30.2,Y
IDCJAC0001,066052,1909,06,104.7,Y
IDCJAC0001,066052,1909,07,40.6,Y
IDCJAC0001,066052,1909,08,46.1,Y
IDCJAC0001,066052,1909,09,147.7,Y
IDCJAC0001,066052,1909,10,41.3,Y
IDCJAC0001,066052,1909,11,93.8,Y
IDCJAC0001,066052,1909,12,69.8,Y
IDCJAC0001,066052,1910,01,114.6,Y
IDCJAC0001,066052,1910,02,16.9,Y
IDCJAC0001,066052,1910,03,148.3,Y
IDCJAC0001,066052,1910,04,83.5,Y
IDCJAC0001,066052,1910,05,66.6,Y
IDCJAC0001,066052,1910,06,78.1,Y
IDCJAC0001,066052,1910,07,236.5,Y
IDCJAC0001,066052,1910,08,16.0,Y
IDCJAC0001,066052,1910,09,28.4,Y
IDCJAC0001,066052,1910,10,57.2,Y
IDCJAC0001,066052,1910,11,3.8,Y
IDCJAC0001,066052,1910,12,255.8,Y
IDCJAC0001,066052,1911,01,309.9,Y
IDCJAC0001,066052,1911,02,123.7,Y
IDCJAC0001,066052,1911,03,55.7,Y
IDCJAC0001,066052,1911,04,78.5,Y
IDCJAC0001,066052,1911,05,31.3,Y
IDCJAC0001,066052,1911,06,1.0,Y
IDCJAC0001,066052,1911,07,155.6,Y
IDCJAC0001,066052,1911,08,205.8,Y
IDCJAC0001,066052,1911,09,52.6,Y
IDCJAC0001,066052,1911,10,10.4,Y
IDCJAC0001,066052,1911,11,26.7,Y
IDCJAC0001,066052,1911,12,72.2,Y
IDCJAC0001,066052,1912,01,36.6,Y
IDCJAC0001,066052,1912,02,174.1,Y
IDCJAC0001,066052,1912,03,198.5,Y
IDCJAC0001,066052,1912,04,133.4,Y
IDCJAC0001,066052,1912,05,46.8,Y
IDCJAC0001,066052,1912,06,58.7,Y
IDCJAC0001,066052,1912,07,266.3,Y
IDCJAC0001,066052,1912,08,39.3,Y
IDCJAC0001,066052,1912,09,8.3,Y
IDCJAC0001,066052,1912,10,23.0,Y
IDCJAC0001,066052,1912,11,156.6,Y
IDCJAC0001,066052,1912,12,34.3,Y
IDCJAC0001,066052,1913,01,9.1,Y
IDCJAC0001,066052,1913,02,15.5,Y
IDCJAC0001,066052,1913,03,106.2,Y
IDCJAC0001,066052,1913,04,162.6,Y
IDCJAC0001,066052,1913,05,140.0,Y
IDCJAC0001,066052,1913,06,188.2,Y
IDCJAC0001,066052,1913,07,135.6,Y
IDCJAC0001,066052,1913,08,2.5,Y
IDCJAC0001,066052,1913,09,35.1,Y
IDCJAC0001,066052,1913,10,29.2,Y
IDCJAC0001,066052,1913,11,6.6,Y
IDCJAC0001,066052,1913,12,3.3,Y
IDCJAC0001,066052,1914,01,9.9,Y
IDCJAC0001,066052,1914,02,28.7,Y
IDCJAC0001,066052,1914,03,244.5,Y
IDCJAC0001,066052,1914,04,43.1,Y
IDCJAC0001,066052,1914,05,83.4,Y
IDCJAC0001,066052,1914,06,186.2,Y
IDCJAC0001,066052,1914,07,296.8,Y
IDCJAC0001,066052,1914,08,71.3,Y
IDCJAC0001,066052,1914,09,164.1,Y
IDCJAC0001,066052,1914,10,149.0,Y
IDCJAC0001,066052,1914,11,54.4,Y
IDCJAC0001,066052,1914,12,186.5,Y
IDCJAC0001,066052,1934,01,99.6,Y
IDCJAC0001,066052,1934,02,314.2,Y
IDCJAC0001,066052,1934,03,55.1,Y
IDCJAC0001,066052,1934,04,327.6,Y
IDCJAC0001,066052,1934,05,164.5,Y
IDCJAC0001,066052,1934,06,116.2,Y
IDCJAC0001,066052,1934,07,186.6,Y
IDCJAC0001,066052,1934,08,208.3,Y
IDCJAC0001,066052,1934,09,220.4,Y
IDCJAC0001,066052,1934,10,59.6,Y
IDCJAC0001,066052,1934,11,118.6,Y
IDCJAC0001,066052,1934,12,104.6,Y
IDCJAC0001,066052,1935,01,74.4,Y
IDCJAC0001,066052,1935,02,97.8,Y
IDCJAC0001,066052,1935,03,76.4,Y
IDCJAC0001,066052,1935,04,31.0,Y
IDCJAC0001,066052,1935,05,132.0,Y
IDCJAC0001,066052,1935,06,158.5,Y
IDCJAC0001,066052,1935,07,51.5,Y
IDCJAC0001,066052,1935,08,7.4,Y
IDCJAC0001,066052,1935,09,83.0,Y
