time,humidity,temperature
19998, 56.30, 24.10
40000, 57.90, 28.00
59999, 52.90, 24.10
79998, 52.20, 23.90
99999, 52.50, 23.80
119999, 52.80, 23.70
139999, 53.20, 23.70
159998, 53.20, 23.50
179999, 53.80, 23.40
199999, 53.80, 23.30
219999, 54.10, 23.30
239998, 54.30, 23.20
259998, 54.40, 23.10
279999, 54.60, 23.00
300000, 54.80, 22.90
319998, 55.00, 22.90
339998, 55.10, 22.80
360000, 55.20, 22.80
379999, 55.50, 22.80
399998, 55.40, 22.70
419999, 55.50, 22.70
439999, 55.70, 22.70
459999, 55.90, 22.60
480000, 54.30, 19.20
499999, 55.90, 22.60
539998, 55.80, 22.60
559998, 55.90, 22.60
579999, 55.90, 22.60
599999, 55.90, 22.50
639998, 56.10, 22.60
679998, 56.10, 22.50
700000, 56.10, 22.50
720000, 56.10, 22.50
739999, 56.20, 22.50
759998, 56.10, 22.50
779999, 56.30, 22.50
819998, 56.20, 22.40
859999, 56.20, 22.40
879998, 56.50, 22.40
899999, 56.40, 22.50
939999, 56.20, 22.40
960000, 56.50, 22.40
979998, 56.30, 22.50
999999, 56.40, 22.50
1019999, 56.70, 22.50
1040000, 56.50, 22.50
1059999, 56.40, 22.50
1079999, 56.20, 22.50
1099999, 56.20, 22.50
1119998, 56.10, 22.40
1139999, 56.20, 22.50
1160000, 56.20, 22.40
1199998, 56.20, 22.40
1219999, 56.10, 22.40
1240000, 55.90, 22.40
1259999, 56.10, 22.50
1279998, 56.10, 22.40
1299999, 55.90, 22.40
1319999, 56.00, 22.40
1359998, 56.10, 22.40
1399998, 56.00, 22.40
1419999, 55.80, 22.40
1439998, 55.90, 22.40
1459998, 56.10, 22.50
1479999, 56.10, 22.50
1520000, 56.20, 22.50
1539998, 54.60, 19.00
1559999, 56.30, 22.50
1579999, 56.20, 22.50
1599998, 56.20, 22.50
1619999, 56.20, 22.50
1639998, 56.00, 22.50
1660000, 56.00, 22.50
1680000, 55.90, 22.50
1699999, 55.80, 22.50
1719999, 55.90, 22.50
1739999, 56.00, 22.50
1759998, 56.00, 22.50
1779999, 56.00, 22.50
1800000, 56.00, 22.50
1840000, 56.00, 22.60
1859999, 55.80, 22.50
1879999, 55.80, 22.50
1899999, 55.60, 22.50
1920000, 55.60, 22.40
1939999, 55.60, 22.40
